x-axis,1,2
second,Volt,Volt
+46.070000E-06,-462.311552838E-03,-1.291457272601E+00
+46.072500E-06,-1.228643202921E+00,-1.879396964796E+00
+46.075000E-06,-1.557788928039E+00,-2.281407010741E+00
+46.077500E-06,-2.103015052853E+00,-2.683417056687E+00
+46.080000E-06,-2.399497461738E+00,-2.814070321620E+00
+46.082500E-06,-2.660803991603E+00,-2.982412028359E+00
+46.085000E-06,-2.816582884406E+00,-3.110552730504E+00
+46.087500E-06,-3.022613032954E+00,-3.263819060521E+00
+46.090000E-06,-3.258793934946E+00,-3.499999962513E+00
+46.092500E-06,-3.545226092683E+00,-3.786432120250E+00
+46.095000E-06,-3.645728604169E+00,-3.886934631736E+00
+46.097500E-06,-3.746231115655E+00,-3.939698450267E+00
+46.100000E-06,-3.982412017647E+00,-4.075376840773E+00
+46.102500E-06,-4.027638147817E+00,-4.108040157006E+00
+46.105000E-06,-4.155778849962E+00,-4.208542668493E+00
+46.107500E-06,-4.309045179979E+00,-4.261306487024E+00
+46.110000E-06,-4.409547691466E+00,-4.329145682276E+00
+46.112500E-06,-4.429648193763E+00,-4.502512514591E+00
+46.115000E-06,-4.502512514591E+00,-4.502512514591E+00
+46.117500E-06,-4.502512514591E+00,-4.454773821636E+00
+46.120000E-06,-4.570351709844E+00,-4.489949700654E+00
+46.122500E-06,-4.590452212141E+00,-4.590452212141E+00
+46.125000E-06,-4.663316532969E+00,-4.690954723627E+00
+46.127500E-06,-4.711055225924E+00,-4.743718542159E+00
+46.130000E-06,-4.743718542159E+00,-4.675879346906E+00
+46.132500E-06,-4.743718542159E+00,-4.597989900501E+00
+46.135000E-06,-4.743718542159E+00,-4.743718542159E+00
+46.137500E-06,-4.791457235113E+00,-4.791457235113E+00
+46.140000E-06,-4.891959746600E+00,-4.824120551348E+00
+46.142500E-06,-4.904522560537E+00,-4.824120551348E+00
+46.145000E-06,-4.904522560537E+00,-4.824120551348E+00
+46.147500E-06,-4.904522560537E+00,-4.776381858393E+00
+46.150000E-06,-4.836683365285E+00,-4.811557737410E+00
+46.152500E-06,-4.912060248897E+00,-4.824120551348E+00
+46.155000E-06,-4.984924569726E+00,-4.824120551348E+00
+46.157500E-06,-4.937185876772E+00,-4.871859244302E+00
+46.160000E-06,-4.972361755788E+00,-4.972361755788E+00
+46.162500E-06,-4.809045174629E+00,-4.896984872177E+00
+46.165000E-06,-4.442211007715E+00,-4.824120551348E+00
+46.167500E-06,-3.876884380594E+00,-4.871859244302E+00
+46.170000E-06,-3.507537650884E+00,-4.904522560537E+00
